t0,10/7/2021  20:03:56.920829
delta t,0.010000

time,Y
10/7/2021  20:03:56.920829,0.228800
10/7/2021  20:03:56.930829,0.227158
10/7/2021  20:03:56.940829,0.230442
10/7/2021  20:03:56.950829,0.230771
10/7/2021  20:03:56.960829,0.231099
10/7/2021  20:03:56.970829,0.227486
10/7/2021  20:03:56.980829,0.228472
10/7/2021  20:03:56.990829,0.234384
10/7/2021  20:03:57.000829,0.244894
10/7/2021  20:03:57.010829,0.253434
10/7/2021  20:03:57.020829,0.230442
10/7/2021  20:03:57.030829,0.234712
10/7/2021  20:03:57.040829,0.244237
10/7/2021  20:03:57.050829,0.253763
10/7/2021  20:03:57.060829,0.256390
10/7/2021  20:03:57.070829,0.252777
10/7/2021  20:03:57.080829,0.244894
10/7/2021  20:03:57.090829,0.240296
10/7/2021  20:03:57.100829,0.235698
10/7/2021  20:03:57.110829,0.229129
10/7/2021  20:03:57.120829,0.212706
10/7/2021  20:03:57.130829,0.209421
10/7/2021  20:03:57.140829,0.201538
10/7/2021  20:03:57.150829,0.197925
10/7/2021  20:03:57.160829,0.197925
10/7/2021  20:03:57.170829,0.197268
10/7/2021  20:03:57.180829,0.197597
10/7/2021  20:03:57.190829,0.197925
10/7/2021  20:03:57.200829,0.197925
10/7/2021  20:03:57.210829,0.197597
10/7/2021  20:03:57.220829,0.197925
10/7/2021  20:03:57.230829,0.199239
10/7/2021  20:03:57.240829,0.199896
10/7/2021  20:03:57.250829,0.199568
10/7/2021  20:03:57.260829,0.196612
10/7/2021  20:03:57.270829,0.199239
10/7/2021  20:03:57.280829,0.203181
10/7/2021  20:03:57.290829,0.213363
10/7/2021  20:03:57.300829,0.222559
10/7/2021  20:03:57.310829,0.226829
10/7/2021  20:03:57.320829,0.196283
10/7/2021  20:03:57.330829,0.198254
10/7/2021  20:03:57.340829,0.198254
10/7/2021  20:03:57.350829,0.198582
10/7/2021  20:03:57.360829,0.197925
10/7/2021  20:03:57.370829,0.198911
10/7/2021  20:03:57.380829,0.200225
10/7/2021  20:03:57.390829,0.209750
10/7/2021  20:03:57.400829,0.219275
10/7/2021  20:03:57.410829,0.226829
10/7/2021  20:03:57.420829,0.196940
10/7/2021  20:03:57.430829,0.197268
10/7/2021  20:03:57.440829,0.197268
10/7/2021  20:03:57.450829,0.197597
10/7/2021  20:03:57.460829,0.197268
10/7/2021  20:03:57.470829,0.197597
10/7/2021  20:03:57.480829,0.198911
10/7/2021  20:03:57.490829,0.207779
10/7/2021  20:03:57.500829,0.219932
10/7/2021  20:03:57.510829,0.226829
10/7/2021  20:03:57.520829,0.208107
10/7/2021  20:03:57.530829,0.202195
10/7/2021  20:03:57.540829,0.197268
10/7/2021  20:03:57.550829,0.198254
10/7/2021  20:03:57.560829,0.196283
10/7/2021  20:03:57.570829,0.197925
10/7/2021  20:03:57.580829,0.198582
10/7/2021  20:03:57.590829,0.200553
10/7/2021  20:03:57.600829,0.197597
10/7/2021  20:03:57.610829,0.199239
10/7/2021  20:03:57.620829,0.199568
10/7/2021  20:03:57.630829,0.200225
10/7/2021  20:03:57.640829,0.196940
10/7/2021  20:03:57.650829,0.197597
10/7/2021  20:03:57.660829,0.201867
10/7/2021  20:03:57.670829,0.212049
10/7/2021  20:03:57.680829,0.221246
10/7/2021  20:03:57.690829,0.225187
10/7/2021  20:03:57.700829,0.223216
10/7/2021  20:03:57.710829,0.217633
10/7/2021  20:03:57.720829,0.197925
10/7/2021  20:03:57.730829,0.197268
10/7/2021  20:03:57.740829,0.198582
10/7/2021  20:03:57.750829,0.199568
10/7/2021  20:03:57.760829,0.198254
10/7/2021  20:03:57.770829,0.196940
10/7/2021  20:03:57.780829,0.197925
10/7/2021  20:03:57.790829,0.204823
10/7/2021  20:03:57.800829,0.215990
10/7/2021  20:03:57.810829,0.223545
10/7/2021  20:03:57.820829,0.195626
10/7/2021  20:03:57.830829,0.198254
10/7/2021  20:03:57.840829,0.198254
10/7/2021  20:03:57.850829,0.208436
10/7/2021  20:03:57.860829,0.219932
10/7/2021  20:03:57.870829,0.227486
10/7/2021  20:03:57.880829,0.227815
10/7/2021  20:03:57.890829,0.221903
10/7/2021  20:03:57.900829,0.212706
10/7/2021  20:03:57.910829,0.209421
10/7/2021  20:03:57.920829,0.226172
10/7/2021  20:03:57.930829,0.229129
10/7/2021  20:03:57.940829,0.223216
10/7/2021  20:03:57.950829,0.212377
10/7/2021  20:03:57.960829,0.209750
10/7/2021  20:03:57.970829,0.202852
10/7/2021  20:03:57.980829,0.195298
10/7/2021  20:03:57.990829,0.194312
10/7/2021  20:03:58.000829,0.195955
10/7/2021  20:03:58.010829,0.196940
10/7/2021  20:03:58.020829,0.199239
10/7/2021  20:03:58.030829,0.207122
10/7/2021  20:03:58.040829,0.218618
10/7/2021  20:03:58.050829,0.225516
10/7/2021  20:03:58.060829,0.226172
10/7/2021  20:03:58.070829,0.224202
10/7/2021  20:03:58.080829,0.214677
10/7/2021  20:03:58.090829,0.210407
10/7/2021  20:03:58.100829,0.203509
10/7/2021  20:03:58.110829,0.198911
10/7/2021  20:03:58.120829,0.215662
10/7/2021  20:03:58.130829,0.223545
10/7/2021  20:03:58.140829,0.227158
10/7/2021  20:03:58.150829,0.225187
10/7/2021  20:03:58.160829,0.215005
10/7/2021  20:03:58.170829,0.212049
10/7/2021  20:03:58.180829,0.205151
10/7/2021  20:03:58.190829,0.197925
10/7/2021  20:03:58.200829,0.197597
10/7/2021  20:03:58.210829,0.195626
10/7/2021  20:03:58.220829,0.196940
10/7/2021  20:03:58.230829,0.198254
10/7/2021  20:03:58.240829,0.199568
10/7/2021  20:03:58.250829,0.198254
10/7/2021  20:03:58.260829,0.198911
10/7/2021  20:03:58.270829,0.196940
10/7/2021  20:03:58.280829,0.198254
10/7/2021  20:03:58.290829,0.200881
10/7/2021  20:03:58.300829,0.210078
10/7/2021  20:03:58.310829,0.220589
10/7/2021  20:03:58.320829,0.198911
10/7/2021  20:03:58.330829,0.198911
10/7/2021  20:03:58.340829,0.198911
10/7/2021  20:03:58.350829,0.197925
10/7/2021  20:03:58.360829,0.195955
10/7/2021  20:03:58.370829,0.196612
10/7/2021  20:03:58.380829,0.200225
10/7/2021  20:03:58.390829,0.210735
10/7/2021  20:03:58.400829,0.220589
10/7/2021  20:03:58.410829,0.225187
10/7/2021  20:03:58.420829,0.197268
10/7/2021  20:03:58.430829,0.196283
10/7/2021  20:03:58.440829,0.196612
10/7/2021  20:03:58.450829,0.198254
10/7/2021  20:03:58.460829,0.196283
10/7/2021  20:03:58.470829,0.197268
10/7/2021  20:03:58.480829,0.200881
10/7/2021  20:03:58.490829,0.208764
10/7/2021  20:03:58.500829,0.221903
10/7/2021  20:03:58.510829,0.226829
10/7/2021  20:03:58.520829,0.195626
10/7/2021  20:03:58.530829,0.197597
10/7/2021  20:03:58.540829,0.198911
10/7/2021  20:03:58.550829,0.198911
10/7/2021  20:03:58.560829,0.197597
10/7/2021  20:03:58.570829,0.196940
10/7/2021  20:03:58.580829,0.202195
10/7/2021  20:03:58.590829,0.214348
10/7/2021  20:03:58.600829,0.224202
10/7/2021  20:03:58.610829,0.227815
10/7/2021  20:03:58.620829,0.354270
10/7/2021  20:03:58.630829,0.351313
10/7/2021  20:03:58.640829,0.340803
10/7/2021  20:03:58.650829,0.356569
10/7/2021  20:03:58.660829,0.383502
10/7/2021  20:03:58.670829,0.400253
10/7/2021  20:03:58.680829,0.410107
10/7/2021  20:03:58.690829,0.439339
10/7/2021  20:03:58.700829,0.469557
10/7/2021  20:03:58.710829,0.494191
10/7/2021  20:03:58.720829,0.457733
10/7/2021  20:03:58.730829,0.454448
10/7/2021  20:03:58.740829,0.442624
10/7/2021  20:03:58.750829,0.433427
10/7/2021  20:03:58.760829,0.431456
10/7/2021  20:03:58.770829,0.430471
10/7/2021  20:03:58.780829,0.424887
10/7/2021  20:03:58.790829,0.425216
10/7/2021  20:03:58.800829,0.425216
10/7/2021  20:03:58.810829,0.429814
10/7/2021  20:03:58.820829,0.444595
10/7/2021  20:03:58.830829,0.440982
10/7/2021  20:03:58.840829,0.443938
10/7/2021  20:03:58.850829,0.444266
10/7/2021  20:03:58.860829,0.447551
10/7/2021  20:03:58.870829,0.447551
10/7/2021  20:03:58.880829,0.446565
10/7/2021  20:03:58.890829,0.445580
10/7/2021  20:03:58.900829,0.440982
10/7/2021  20:03:58.910829,0.439996
10/7/2021  20:03:58.920829,0.450178
10/7/2021  20:03:58.930829,0.448864
10/7/2021  20:03:58.940829,0.442624
10/7/2021  20:03:58.950829,0.441967
10/7/2021  20:03:58.960829,0.442952
10/7/2021  20:03:58.970829,0.441310
10/7/2021  20:03:58.980829,0.440325
10/7/2021  20:03:58.990829,0.439668
10/7/2021  20:03:59.000829,0.436712
10/7/2021  20:03:59.010829,0.437369
10/7/2021  20:03:59.020829,0.436055
10/7/2021  20:03:59.030829,0.436055
10/7/2021  20:03:59.040829,0.435726
10/7/2021  20:03:59.050829,0.438682
10/7/2021  20:03:59.060829,0.437697
10/7/2021  20:03:59.070829,0.437040
10/7/2021  20:03:59.080829,0.438354
10/7/2021  20:03:59.090829,0.444923
10/7/2021  20:03:59.100829,0.452477
10/7/2021  20:03:59.110829,0.459047
10/7/2021  20:03:59.120829,0.459703
10/7/2021  20:03:59.130829,0.458061
10/7/2021  20:03:59.140829,0.447222
10/7/2021  20:03:59.150829,0.446565
10/7/2021  20:03:59.160829,0.442624
10/7/2021  20:03:59.170829,0.437697
10/7/2021  20:03:59.180829,0.437369
10/7/2021  20:03:59.190829,0.437369
10/7/2021  20:03:59.200829,0.439011
10/7/2021  20:03:59.210829,0.438682
10/7/2021  20:03:59.220829,0.445251
10/7/2021  20:03:59.230829,0.439996
10/7/2021  20:03:59.240829,0.438025
10/7/2021  20:03:59.250829,0.439339
10/7/2021  20:03:59.260829,0.437040
10/7/2021  20:03:59.270829,0.439339
10/7/2021  20:03:59.280829,0.440325
10/7/2021  20:03:59.290829,0.440325
10/7/2021  20:03:59.300829,0.439011
10/7/2021  20:03:59.310829,0.438025
10/7/2021  20:03:59.320829,0.441310
10/7/2021  20:03:59.330829,0.441638
10/7/2021  20:03:59.340829,0.447551
10/7/2021  20:03:59.350829,0.457733
10/7/2021  20:03:59.360829,0.460032
10/7/2021  20:03:59.370829,0.459047
10/7/2021  20:03:59.380829,0.451821
10/7/2021  20:03:59.390829,0.449850
10/7/2021  20:03:59.400829,0.442952
10/7/2021  20:03:59.410829,0.438025
10/7/2021  20:03:59.420829,0.437040
10/7/2021  20:03:59.430829,0.438354
10/7/2021  20:03:59.440829,0.438354
10/7/2021  20:03:59.450829,0.439668
10/7/2021  20:03:59.460829,0.440325
10/7/2021  20:03:59.470829,0.438025
10/7/2021  20:03:59.480829,0.438354
10/7/2021  20:03:59.490829,0.438025
10/7/2021  20:03:59.500829,0.444595
10/7/2021  20:03:59.510829,0.453463
10/7/2021  20:03:59.520829,0.438682
10/7/2021  20:03:59.530829,0.441310
10/7/2021  20:03:59.540829,0.451164
10/7/2021  20:03:59.550829,0.458061
10/7/2021  20:03:59.560829,0.462988
10/7/2021  20:03:59.570829,0.458718
10/7/2021  20:03:59.580829,0.450178
10/7/2021  20:03:59.590829,0.446894
10/7/2021  20:03:59.600829,0.443609
10/7/2021  20:03:59.610829,0.438682
10/7/2021  20:03:59.620829,0.439339
10/7/2021  20:03:59.630829,0.439668
10/7/2021  20:03:59.640829,0.448864
10/7/2021  20:03:59.650829,0.456090
10/7/2021  20:03:59.660829,0.462660
10/7/2021  20:03:59.670829,0.462003
10/7/2021  20:03:59.680829,0.454448
10/7/2021  20:03:59.690829,0.448208
10/7/2021  20:03:59.700829,0.445908
10/7/2021  20:03:59.710829,0.439339
10/7/2021  20:03:59.720829,0.438025
10/7/2021  20:03:59.730829,0.438682
10/7/2021  20:03:59.740829,0.441310
10/7/2021  20:03:59.750829,0.448208
10/7/2021  20:03:59.760829,0.456747
10/7/2021  20:03:59.770829,0.462988
10/7/2021  20:03:59.780829,0.460360
10/7/2021  20:03:59.790829,0.452477
10/7/2021  20:03:59.800829,0.447879
10/7/2021  20:03:59.810829,0.444266
10/7/2021  20:03:59.820829,0.443281
10/7/2021  20:03:59.830829,0.451164
10/7/2021  20:03:59.840829,0.461674
10/7/2021  20:03:59.850829,0.463973
10/7/2021  20:03:59.860829,0.462660
10/7/2021  20:03:59.870829,0.451492
10/7/2021  20:03:59.880829,0.449193
10/7/2021  20:03:59.890829,0.445251
10/7/2021  20:03:59.900829,0.438025
10/7/2021  20:03:59.910829,0.438025
10/7/2021  20:03:59.920829,0.439668
10/7/2021  20:03:59.930829,0.446237
10/7/2021  20:03:59.940829,0.455105
10/7/2021  20:03:59.950829,0.462988
10/7/2021  20:03:59.960829,0.461017
10/7/2021  20:03:59.970829,0.455762
10/7/2021  20:03:59.980829,0.447222
10/7/2021  20:03:59.990829,0.444923
10/7/2021  20:04:00.000829,0.439339
10/7/2021  20:04:00.010829,0.437369
10/7/2021  20:04:00.020829,0.439668
10/7/2021  20:04:00.030829,0.441967
10/7/2021  20:04:00.040829,0.442624
10/7/2021  20:04:00.050829,0.441638
10/7/2021  20:04:00.060829,0.437697
10/7/2021  20:04:00.070829,0.438682
